,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulated
EAF2,128.727184020318,-1.18831667893511,0.324053058476076,-3.6670435530632,0.00024537101501045,0.0341704477891053,down
EBI3,82.2882336262591,-1.52883523243132,0.396852130117832,-3.85240525728661,0.000116963237156033,0.0248321241215599,down
ECT2L,99.3764433888567,-3.45423395109216,0.836962288160095,-4.12710823409458,3.67353520753354e-05,0.0132066039734303,down
EPPIN,16.7168457357661,-4.02036402453502,1.1478324242887,-3.50257053160561,0.000460791767973897,0.0468842582636989,down
ERICH3,266.806217227525,-4.29506774855748,1.05560845606654,-4.06880763778833,4.7254339264701e-05,0.0157298611061004,down
F2RL3,651.62860440829,-2.59717002249299,0.688265741758092,-3.77349890444762,0.000160973926638417,0.028935599893011,down
FAM166B,98.6287030847096,-3.91013908370673,0.760027563044955,-5.14473326209545,2.67901186619142e-07,0.000656674517710175,down
FAM216B,338.604528139126,-4.03101620466698,1.01162261913064,-3.98470351338241,6.75644309280418e-05,0.0184014116274019,down
FER1L4,1235.16790092053,-1.99000301922318,0.533578665837323,-3.7295400784069,0.000191829593705866,0.031347280818735,down
GABRP,749.345983227577,-4.04832882012914,1.0542933636078,-3.83985042481509,0.000123109292532334,0.0259327801136665,down
GPR15,86.5854446875591,-3.31255083469514,0.86871570629393,-3.81315867860496,0.000137201961002581,0.0268070759022652,down
GSTA2,179.318246608389,-6.01391520930726,1.29713680666179,-4.63629987093202,3.54701285781919e-06,0.00341564670304925,down
GZMB,423.631450780961,-2.13865567898697,0.536056930966891,-3.98960549792624,6.61832782174319e-05,0.0183969044389342,down
H1.3,29.1328926956499,-2.69829399513579,0.490181124636905,-5.50468767465192,3.69823309738842e-08,0.000229721999090335,down
H19,31649.2531387009,-4.13974715312906,1.14120320407824,-3.62752850529612,0.000286147191947079,0.0363129935139793,down
H2BU1,50.3220415811576,-2.48256382431708,0.574234347643843,-4.32325902221516,1.53741051649823e-05,0.00766256307510716,down
H4C5,16.3455550048428,-2.36051628249716,0.641542427152998,-3.67943908709597,0.000233747511014466,0.0337033911202302,down
HOATZ,158.7920535668,-4.28705472271633,1.08707265641316,-3.9436689879236,8.02443997343694e-05,0.0207761229759891,down
IFNG.AS1,32.9804992186418,-2.99890376220373,0.853524472158045,-3.51355334267255,0.000442155624477956,0.0462086903209269,down
IGHA1,137699.821657882,-3.14240147574442,0.829964509105317,-3.78618777221192,0.000152976096381008,0.0285471111247195,down
IGHA2,14269.3287049177,-3.18998165507792,0.855757398430532,-3.72767055351012,0.000193257774320744,0.0313665523096848,down
IGHM,22785.8013398065,-3.10679224605074,0.704652875263224,-4.4089683801974,1.03864186776762e-05,0.0062233112623596,down
IGHV1.69D,4961.87039347678,-4.74241321055926,0.995111649634176,-4.76570966916393,1.88190082354255e-06,0.00230644054114445,down
IGHV3.15,1618.17804868463,-3.79742755866708,0.816389542257944,-4.6514897142904,3.29545714369005e-06,0.0032929521105999,down
IGHV3.21,1948.79951555063,-2.99302914710514,0.816309672015446,-3.66653642571138,0.000245857911622833,0.0341704477891053,down
IGHV3.23,5427.79003443797,-3.28908847165791,0.789837455850861,-4.16425993385525,3.12364092961992e-05,0.0120985435281177,down
IGHV3.48,807.193988979469,-3.21889099079059,0.812112715716928,-3.96360126925113,7.38275240571347e-05,0.0197090250609161,down
IGHV3.53,622.696605995552,-3.605689784108,0.9314052150213,-3.87123641349329,0.000108284707182134,0.0245238118893958,down
IGHV3.64D,220.795415428318,-4.67759566982366,0.959979003935012,-4.872602057597,1.10137927774887e-06,0.00148482447329714,down
IGHV3.7,2678.75058074383,-3.43727860597102,0.819576441045364,-4.19396951135735,2.74114841302596e-05,0.0116147018970231,down
IGHV3.72,233.013253617046,-3.55895226876273,0.912002245528814,-3.90235033544146,9.52631416655935e-05,0.0233507280793582,down
IGHV3.73,925.10808694888,-4.40740646879194,0.963629015310809,-4.57375857177813,4.79051821740873e-06,0.00430555808986639,down
IGHV3.74,1109.68333256807,-3.84495907367494,0.868421250103946,-4.42752762350612,9.53193683750453e-06,0.00597696774301476,down
IGHV4.59,3374.88369405503,-3.28634922027101,0.904533629095789,-3.63319738985955,0.000279930704416372,0.0362873633806665,down
IGHV5.51,2720.71650527452,-2.99021652574088,0.839508585690879,-3.56186533015629,0.000368229263389763,0.0419230598734407,down
IGHV6.1,620.621041362599,-3.94675567945148,0.987926401046143,-3.99498958148315,6.46970979364824e-05,0.018171123454806,down
IGKC,185099.921279473,-2.97876137363831,0.851655882564459,-3.4976114585962,0.000469444505930646,0.0469525790180968,down
IGKV1.12,1622.02597319608,-3.07763892544755,0.831089280073098,-3.70313875926405,0.000212948329470838,0.0329696544473987,down
IGKV1D.16,160.555807133832,-3.17068713235833,0.849152673519685,-3.73394235363593,0.000188505657725194,0.0312560931280816,down
IGKV1D.17,33.374573285877,-5.08309057500893,1.37638616695839,-3.69307008238959,0.000221562931050435,0.0335618051118701,down
IGKV1D.8,85.5629609291029,-3.35140464951969,0.918859621580012,-3.64735218613353,0.000264956643040638,0.0357201298315237,down
IGKV2.28,4600.87857669587,-3.08990082086265,0.883535763156222,-3.49719949062923,0.000470170097351412,0.0469525790180968,down
IGKV2.30,1407.9907141607,-3.26346653709635,0.881297906435915,-3.70302313583637,0.000213045444707355,0.0329696544473987,down
IGKV2D.24,46.418100034782,-3.51332741242311,0.951859705599051,-3.69101390862218,0.000223361922072438,0.0336452933231237,down
IGKV3.11,5846.51853860657,-3.14619174906858,0.875895960573855,-3.59196969809897,0.000328188017894174,0.0402224251203664,down
IGKV3.15,6414.5497394872,-3.1434395117983,0.838624697453949,-3.74832689919786,0.000178018135124025,0.0307686088291609,down
IGLV1.40,5413.63991767635,-2.93451329023369,0.811008237349262,-3.61835201554178,0.000296484951390255,0.0370968927960271,down
IGLV1.51,2392.22042150106,-3.41809881085031,0.875257759484806,-3.90524822409146,9.41287155243621e-05,0.0233354435965859,down
IGLV2.8,2391.25178892707,-3.5388391918372,0.850450817577443,-4.16113327037274,3.1667220870372e-05,0.0120985435281177,down
IGLV3.25,3785.23022876328,-3.47954262477255,0.956002096388939,-3.63968095667955,0.000272976049552376,0.0358497845213988,down
IGLV5.45,181.785079519826,-3.38644466448424,0.807294691092918,-4.19480606257878,2.731051571901e-05,0.0116147018970231,down
IGLV8.61,540.110997996226,-4.72403174171701,1.08426015646677,-4.35691721543194,1.31907129325634e-05,0.00711322385601412,down
IL5RA,81.3188760597253,-2.49408271204889,0.699223234244992,-3.56693340538369,0.000361183220741864,0.0417964943384673,down
ITGAD,33.6247174144683,-2.24810655901563,0.636324915028153,-3.53295385096805,0.000410944199331341,0.0450418229535405,down
ITK,581.743598105651,-1.76371127885273,0.476433226647284,-3.70190654263173,0.000213985444063894,0.0329696544473987,down
JCHAIN,9534.65337496645,-2.86389798914093,0.635747375229719,-4.50477359518173,6.64437433943566e-06,0.0048419531166001,down
KCNJ10,30.3805016628273,-2.07988575722458,0.494818595673067,-4.20332981705236,2.63016916103374e-05,0.0116147018970231,down
KEL,20.4266725748075,-1.81732878843063,0.509427526826144,-3.56739416841689,0.000360548922553933,0.0417964943384673,down
KIF19,164.172808589301,-3.43484509335556,0.691460754275124,-4.96751995267814,6.78145827578766e-07,0.00140652661146202,down
KLRC4.KLRK1,349.101406036405,-1.62720347450122,0.434038515967619,-3.74898405242593,0.00017755237421198,0.0307686088291609,down
KLRK1,349.101406036405,-1.62720347450122,0.434038515967619,-3.74898405242593,0.00017755237421198,0.0307686088291609,down
LINC01267,16.6670136555736,-2.70082000621454,0.70094298633382,-3.8531236617985,0.00011662045332059,0.0248321241215599,down
LINC02384,47.403547191626,-2.63948294240855,0.656615222213099,-4.01983209209232,5.82396341067624e-05,0.0171907864608565,down
LOC102724852,31649.2531387009,-4.13974715312906,1.14120320407824,-3.62752850529612,0.000286147191947079,0.0363129935139793,down
LOC105369760,841.945753343647,-2.33139617440123,0.57786132819191,-4.03452534485395,5.47127845583779e-05,0.0170166544544601,down
LOC728196,17.4375185845724,-5.21601788371184,1.36715313772594,-3.81524039976085,0.000136050418511034,0.0268070759022652,down
LRRC10B,245.455813914772,-3.53060838815276,0.817245847174057,-4.3201301057218,1.55937235091051e-05,0.00766256307510716,down
LRRC18,23.1169794463987,-3.0394272797334,0.868447547775903,-3.49983978596909,0.000465537868510766,0.0469525790180968,down
LRRC46,225.032831940949,-3.02621012199508,0.691912813679627,-4.37368706311644,1.22165467786339e-05,0.00688241626733139,down
LRRC71,76.0720119338454,-3.90583645184372,1.00495314922933,-3.88658561330843,0.0001016640818768,0.0236307641348634,down
LRRC74B,117.866184850684,-4.3883049573006,1.26159458608877,-3.47837966783398,0.000504454870602974,0.0496409367739708,down
LY6K,540.800246768108,-2.66101548215759,0.634912219924238,-4.19115493237021,2.77538049528129e-05,0.0116147018970231,down
LYPD2,18.9654817362232,-4.50243532863384,1.29483422984779,-3.47722915014619,0.00050662462675534,0.0496731629498336,down
MIR9.1HG,177.698243148764,-3.79576954938995,1.00754917377639,-3.76732932563784,0.000165003272955359,0.029463465223148,down
MORN5,56.8630357827504,-4.26819814231831,1.15191670914671,-3.70530100694521,0.000211139839535707,0.0329696544473987,down
MS4A8,267.497409707508,-4.25274496418234,1.11873567591804,-3.80138495243081,0.000143889547100002,0.0279114666076068,down
NEK10,126.250205485628,-2.76516462634529,0.730482634762519,-3.7853940597017,0.000153465202346577,0.0285471111247195,down
NPIPA8,35.6872870207589,-4.72789377264926,1.19035352484916,-3.97184002395287,7.13196102350815e-05,0.019229906507685,down
NR1I2,118.441845004631,-4.37793372530823,1.13096636655709,-3.87096721420251,0.000108404372796382,0.0245238118893958,down
NUGGC,93.4874828333603,-2.42453813713454,0.623744211741404,-3.88707116073363,0.000101461017394376,0.0236307641348634,down
OSBPL6,291.644697596469,-1.8877654488063,0.519451393347593,-3.63415224789491,0.000278896145217025,0.0362873633806665,down
P2RX5,180.050079674735,-2.25931183403084,0.603976042048546,-3.74073088456916,0.000183485903944308,0.0309334249410705,down
POU2AF1,965.649484915476,-2.53260938668063,0.719459261613797,-3.5201567646788,0.000431291806161866,0.0459641145041202,down
PSCA,2287.22508078963,-5.3913597645856,1.18261454401956,-4.55884784425282,5.14350179040356e-06,0.00447368512176294,down
PZP,55.9938376369813,-3.2996371995169,0.906134712023177,-3.64144222237068,0.000271114975330105,0.0358497845213988,down
RASD2,360.930202946605,-2.60207273811885,0.562980781083386,-4.62195660233993,3.80137549221158e-06,0.00353436163436209,down
RGL4,39.3939773295965,-1.479934129339,0.415789449116454,-3.55933545808783,0.00037179438509742,0.0421205546444611,down
RIMS2,140.445626474523,-4.19769528533581,1.01059678736793,-4.15367962554935,3.27171163177985e-05,0.0120985435281177,down
ROPN1L,114.626772447486,-3.38939802285231,0.863122576010296,-3.92690229297383,8.60469153107188e-05,0.0218875752596501,down
RPL23AP65,14.7730062799839,-1.19790764774701,0.341443438938217,-3.50836335140055,0.000450872792324614,0.0467522679749559,down
RPPH1,34.6790917514669,-1.56925012161144,0.443164169268687,-3.54101308370897,0.000398593812182232,0.0440462498273341,down
RSPH10B,67.7603476815371,-2.23296095171345,0.617681702189527,-3.61506734584845,0.000300269554401982,0.0373095299324453,down
RSPH10B2,56.4876493098033,-3.03923819938544,0.861410258311353,-3.52821221951006,0.000418376590612157,0.0453039679223919,down
SCARB1,1928.12536162974,-1.33591078767376,0.369266281672046,-3.61774376372716,0.000297182392313239,0.0370968927960271,down
SCGB1A1,5993.69470002121,-4.2057875648706,1.12393487659419,-3.74202069217319,0.000182546480082411,0.0309334249410705,down
SIRPG,108.440891029473,-1.67621229974618,0.469457074798404,-3.5705336861011,0.000356254632807863,0.0417638854973844,down
SIX3,34.8498607876697,-3.52458104391855,0.968606938574898,-3.63881457333378,0.000273895917049592,0.0358497845213988,down
