,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000103356,765.39281039083,0.0885709618812539,0.203034623694026,0.436235752650399,0.662665690432519,0.933002313280216
ENSG00000103363,3228.18300104267,0.0386125695373745,0.206515270266786,0.186971982689188,0.851682600121053,0.973872686474298
ENSG00000103365,3593.637479183,0.16759075182697,0.186977519734944,0.896314979814382,0.370084560820075,0.819220851459431
ENSG00000103381,796.321031934262,-0.163063617676926,0.355159755429506,-0.459127519895174,0.646142595385225,0.926680932601039
ENSG00000103404,655.292948010535,-0.124943239640987,0.296950444040156,-0.420754513585071,0.673934349777412,0.93687324681039
ENSG00000103415,1375.33450318638,0.373833178932142,0.200777987186499,1.86192313296225,0.0626139258144,0.47758395522876
ENSG00000103423,1825.51876564365,0.119307258985029,0.210909436127488,0.565680043414041,0.571611303931266,0.908367585382034
ENSG00000103426,16.4838259212291,0.331146639207026,1.0007824167972,0.330887747075726,0.740729277560707,0.953413752672491
ENSG00000103429,1874.08498054762,0.13336746619558,0.179003206856307,0.745056295570386,0.456237688232069,0.860394125750345
ENSG00000103449,12.2068816307106,0.0857335793110954,1.03022631965746,0.0832181994142814,0.933678041892532,0.986197718338708
ENSG00000103460,536.573651414709,0.422364910445402,0.679205229460362,0.621851676231906,0.534039402912413,0.893059716018437
ENSG00000103472,88.7014858757975,-0.751733750677436,0.482398729715764,-1.55832448215684,0.11915634823516,0.590114826320116
ENSG00000103479,3587.59983612517,-0.000537565871289775,0.16080646527414,-0.00334293692963989,0.997332727204,0.999192488468635
ENSG00000103485,1502.43334832108,-0.590899371781936,0.615621641914827,-0.959841778700315,0.337134851970736,0.800313695571935
ENSG00000103489,453.532934184413,0.474193312446245,0.431992319481329,1.09768922052963,0.272340218348654,0.758641431474888
ENSG00000103490,1035.62420633038,-0.0338044755420704,0.350340700209114,-0.0964902893722966,0.923131185899215,0.985005790471927
ENSG00000103494,324.217111134994,0.140811969553453,0.277301467934902,0.507793812279818,0.611597949679619,0.918963044099046
ENSG00000103495,5826.36640215375,0.111195966952626,0.247535387700285,0.449212405489521,0.653278439278555,0.929358346307173
ENSG00000103496,2071.6945090985,-0.169391167274173,0.182388285003332,-0.928739295240804,0.353024210998251,0.809287091786235
ENSG00000103502,2555.73319507473,0.0230375980264332,0.139905356294667,0.164665589914311,0.869207202470591,0.97829092005526
ENSG00000103507,1682.74994118258,-0.0556265029254054,0.160193607242758,-0.347245460557666,0.728406920520895,0.950124384475787
ENSG00000103510,1471.5677902229,0.0407117535682699,0.179804157965218,0.226422759234218,0.820872628214559,0.96824833433436
ENSG00000103512,3696.50978131594,0.340990155022969,0.200525245021878,1.70048491892263,0.0890397507517845,0.540424014994665
ENSG00000103522,373.156827251834,-0.723095627158986,0.499528248720652,-1.44755702807782,0.147740976482637,0.633917878564824
ENSG00000103528,476.558576208997,-0.48375231297425,0.430809235564988,-1.12289215977422,0.26148329771901,0.749811158294988
ENSG00000103534,2845.39040810746,-0.0119911875247704,0.557413567185224,-0.0215121917202741,0.982837078127695,0.996030960333868
ENSG00000103540,997.952634840228,0.384498105572629,0.292205330302575,1.31584904756695,0.188224713212725,0.682791709008116
ENSG00000103544,1151.14163473232,0.0565164599163642,0.256188493005194,0.220604989917398,0.825400015391024,0.969105773141388
ENSG00000103546,8.40532054609964,0.262906108196768,0.947545151255297,0.277460243291281,0.781426729096843,0.961925649921504
ENSG00000103549,3534.10096185605,0.0509103463116697,0.172720517199956,0.294755638397792,0.768180556974913,0.960651597783761
ENSG00000103550,1077.11186785018,-0.0290391987673923,0.30336716846827,-0.0957229449515385,0.923740617141131,0.985005790471927
ENSG00000103569,469.983254040927,0.0177368319649881,0.568320894152091,0.0312091850704357,0.975102714856853,0.99397275131714
ENSG00000103591,1139.55214796133,0.0639092020442772,0.195988770428328,0.326086040055282,0.74435925870794,0.954439059153933
ENSG00000103599,65.3615255729107,-0.383129266395365,0.471505594137313,-0.812565685665628,0.416467112035287,0.841834659879489
ENSG00000103642,870.106915068141,-0.167416972877776,0.283497091250367,-0.590542118578293,0.554827257037101,0.900211718703835
ENSG00000103647,137.731260923316,-1.0732924490068,0.645307661403181,-1.6632259512819,0.0962672147606865,0.55297249927405
ENSG00000103653,2687.39167386342,-0.181864643217003,0.210844635998431,-0.862552857253416,0.388383359571444,0.829051904225731
ENSG00000103657,1958.57674019734,0.0838036625797617,0.193841752471387,0.432330297839894,0.665501369685682,0.933346394301859
ENSG00000103671,640.13508001818,0.0482675112792349,0.186954593284716,0.258177723431099,0.796269749395499,0.964243181116012
ENSG00000103707,297.991440826257,0.188539208504545,0.214371667532326,0.879496860172133,0.379131934795953,0.824360730381876
ENSG00000103710,554.450399128763,-0.338108597978941,0.481879843500859,-0.701645031513626,0.482900561060363,0.873399606432336
ENSG00000103723,75.9501212554134,-0.979962782778842,0.698480180761374,-1.40299296926455,0.160618935509899,0.651439283717419
ENSG00000103740,60.4101395655237,-2.65508780212795,0.630702871527112,-4.20972841886581,2.5567783687524e-05,0.0116147018970231
ENSG00000103742,127.37418671827,-0.340328649197589,0.527707894437705,-0.644918624081271,0.518979921891306,0.886715394078657
ENSG00000103769,3527.8676010671,0.0212529241653544,0.195642763368689,0.108631281829235,0.913494948259974,0.984032054168439
ENSG00000103811,14332.1823556027,0.940190534195445,0.524555912218786,1.79235523286468,0.0730760809990383,0.503410927945087
ENSG00000103852,445.139022635557,0.289989858457666,0.274485134819821,1.05648656947496,0.290745973633957,0.771113653912586
ENSG00000103855,3275.841143941,0.680401838674892,0.311020807745462,2.18764089646288,0.0286957703959605,0.35005826845316
ENSG00000103876,670.11602493856,-0.000643319370162753,0.235186851683249,-0.00273535431746491,0.997817505743399,0.999262866117935
ENSG00000103888,1551.15457376855,0.962383269833415,0.553732015637541,1.73799463035449,0.082211759932393,0.526096590197262
ENSG00000103932,711.998647683614,0.104924935490196,0.209393500013997,0.501089744825808,0.616307963875941,0.920729442530836
ENSG00000103942,433.866595771142,0.0779691342594112,0.377487997210026,0.206547320274215,0.836363405287203,0.971171073174359
ENSG00000103966,2418.91881667827,0.0433508332940657,0.249266529144905,0.173913575331507,0.861933383641505,0.976753649393679
ENSG00000103978,2576.3642227713,0.425018390036889,0.198653126222362,2.13950013331854,0.0323951851366399,0.365796164445637
ENSG00000103994,2423.42114927789,0.152443726421369,0.258871556122772,0.588877853961952,0.555943214772938,0.900672769327808
ENSG00000103995,343.765291215384,0.0696815649758969,0.288251797957126,0.241738526766314,0.808982774697894,0.966399475175195
ENSG00000104043,167.47265531723,-0.517029311527397,0.384335427417099,-1.34525540620093,0.178542769103371,0.671879961704391
ENSG00000104044,14.9302807539276,-0.0012036409430208,0.616480697543485,-0.00195243897792258,0.998442180073346,0.999482865005324
ENSG00000104047,443.033795287323,0.0182865878366921,0.153517836502663,0.119117024140546,0.905182643456388,0.982194478621587
ENSG00000104055,10.9665661639923,-0.0662442774272062,0.93941095955242,-0.0705168241370829,0.943782310158619,0.988105739741549
ENSG00000104059,26.1506729248582,1.30812438834992,0.802542282920485,1.62997566133163,0.103106641051541,0.564502484727095
ENSG00000104064,519.018899625147,-0.0445826363363955,0.235543611422891,-0.18927550642141,0.849876891377408,0.973643651951792
ENSG00000104067,2743.51571753022,0.308565337074186,0.230756824393166,1.3371883491881,0.181161163971517,0.674443001206132
ENSG00000104081,1063.20112494621,0.201510944487964,0.433329363304079,0.465029516927886,0.641910318999215,0.926237471739755
ENSG00000104093,1422.07869817785,-0.183944142594219,0.329133164334203,-0.558874530211247,0.576247352968234,0.909149056646138
ENSG00000104112,6.52897853780383,-1.45548773747217,0.564059536476828,-2.58037962900741,0.00986917556440496,0.221937098201043
ENSG00000104129,500.881328459323,0.252796674981047,0.228211672354504,1.10772894468059,0.26797889499486,0.755084944568666
ENSG00000104131,1836.263904145,-0.127575084993703,0.205821052814547,-0.619834964641119,0.535366446482712,0.893059716018437
ENSG00000104133,1962.00884004046,0.0610072754325404,0.146103563074655,0.417561859195503,0.676267487847166,0.937173946300692
ENSG00000104140,1695.31034186461,-1.28119895746359,0.912534132137641,-1.40400113523681,0.160318511515755,0.650808194218503
ENSG00000104142,1142.05439617633,0.198873721450369,0.254916289716715,0.780153052091627,0.435300792548214,0.850580812071373
ENSG00000104147,104.41482917432,-0.0257705701154196,0.670349568521846,-0.0384434798283603,0.969334094696807,0.993263517224086
ENSG00000104154,213.411616001495,0.073269482479384,0.255913143500203,0.286306054770203,0.774643721113089,0.961456259307821
ENSG00000104164,1571.39229197668,0.0919825494237096,0.150262324198325,0.612146457300271,0.540440862773163,0.895127775924983
ENSG00000104177,591.674162788605,0.0199104469142201,0.286006299849403,0.0696154138027867,0.944499768265323,0.988116533894438
ENSG00000104205,618.708121087291,-0.13263956994591,0.19981466093246,-0.663813002143743,0.506810002858855,0.882356253407092
ENSG00000104213,349.831457197781,0.764197327660796,0.600744111810873,1.27208459082056,0.203343065484525,0.700904170216008
ENSG00000104218,962.265090730627,-0.335619883880477,0.249658840165008,-1.34431403934527,0.178846857556325,0.671905955086631
ENSG00000104219,1014.33320044933,-0.0125063976937793,0.283150578204067,-0.0441687167764353,0.964769918103387,0.99184395888045
ENSG00000104221,332.61474857597,0.373172923347843,0.280801735175688,1.32895519008941,0.183862753903082,0.677721989137621
ENSG00000104228,669.52883245082,-0.456627452893913,0.284244376112919,-1.60646081775955,0.108172697356828,0.573240181650963
ENSG00000104231,867.05111457828,-0.152022619124698,0.188044216579206,-0.808440811901623,0.418836865822828,0.842718004290274
ENSG00000104237,175.737540759617,-2.21347667353963,0.795334362195363,-2.78307687779233,0.00538460455781611,0.16895071332244
ENSG00000104267,896.861680597042,-0.958005174682472,0.617337897305537,-1.55183276267961,0.120702244447634,0.592757090456516
ENSG00000104290,335.23855937282,0.591555517800141,0.425282413988562,1.39097103087844,0.164234211515452,0.65448522688311
ENSG00000104299,441.019722535323,0.0532952415192962,0.198980307884295,0.2678417883959,0.788821103009034,0.963678039523721
ENSG00000104312,848.067254900796,-0.397324223805669,0.363152993971441,-1.09409596065981,0.273912893838497,0.759562128883041
