,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
STN1,16.82,21.05,25.71,37.39,27.64,10.08,22.54,13.13,20.98,21.21,23.54,14.69,22.76,10.4,22.19,11.36,13.18,46.6,23.52,6.42,6.92,16.31,7.45
STOM,97.67,130.54,147.85,65.42,88.21,31.15,15.82,24.91,93.85,84.94,293.47,159.54,191.63,75.61,118.77,51.02,66.67,185.89,66.95,52.3,20.03,105.82,106.62
STOML1,28.24,16.09,11.85,14.26,16.2,9.71,34.35,4.19,17.08,12.98,19.85,11.01,14.84,7.5,13.17,10.49,12.38,12.05,11.96,7.77,3.73,12.05,3.91
STOML2,93.22,36.75,45.67,86.43,55.69,64.6,102.48,61.45,55.82,85.14,48.44,102.23,54.35,37.43,51.82,75.49,50.88,56.75,79.28,141.43,322.7,52.74,34.06
STOML3,0.11,0.07,0.07,0.04,0.05,0.24,0,0.02,1.47,0.05,1.25,5.23,14.25,7.57,2.15,0,0,1.26,1.71,0.15,0,0.15,2.02
STON1,1.2,4.3,3.45,2.68,7.63,8.29,2.25,2.63,3.37,1.6,11.96,3.24,6.39,3.88,3.69,24.83,3.31,1.56,2.22,3.98,1.36,5.53,2.57
STON1.GTF2A1L,0,0,0.4,0.11,0.72,1.19,0.07,0.57,0,0.03,0.23,0,0.41,0,0.17,0.08,0,0,0.1,0.06,0.04,1.37,0.06
STON2,3.43,1.77,1.62,2.44,7.95,18.78,6.25,0.93,2.28,1.18,2.67,2.2,2.09,1.02,4.33,4.59,1.47,4.62,1.58,7.53,4.36,1.53,1.96
STOX1,3.53,0.54,0.51,0.87,0.3,2.64,16.4,0.55,0.49,1.46,1.21,3.49,8.33,2.95,0.96,1.89,1.01,1.05,2.25,0.96,0.31,0.75,2.07
STOX2,2.88,3.92,4.08,3.76,0.9,4.8,1.59,1.19,1.83,0.13,1.65,2.47,4.72,1.33,0.98,7.16,0.46,1.39,2.94,8.62,2.28,0.91,3.65
STPG1,16.25,5.17,6.65,7.47,6.58,17.68,10.42,2.83,4.74,2.9,10.04,6.14,11.5,5.99,6.74,9.51,2.45,4.29,4.83,4.91,5.71,3.02,5.91
STPG2,0.26,0.04,0,0.04,0.13,0.15,0.35,0.16,0.06,0.04,0.03,0.17,0.19,0.07,0.11,0.1,0.14,0.34,0.41,0.1,0.04,0.19,0.16
STPG2.AS1,0.09,0,0,0,0,0.06,0.02,0.08,0,0.01,0,0,0.02,0,0.02,0,0,0.03,0.09,0,0,0,0.03
STPG3,8.19,0.48,0.93,0.91,0.21,0.2,12.76,0.23,0.31,0.47,0.78,0.51,1.08,0.45,0.57,1.12,0.24,0.93,0.86,0.29,1.14,0.31,0.48
STPG3.AS1,4.61,0.26,0.16,0.74,0.23,0.28,7.96,0.22,0.36,0.32,0.31,0.6,0.86,0.21,0.47,0.74,0.17,0.33,0.94,0.15,0.8,0.24,0.16
STPG4,0.22,0.09,0.09,0.05,1.56,0.08,0.19,0.63,0.14,0,0,0.09,0,0,2.82,1.65,0.13,0.02,0,0.09,0,0,1.4
STRA6,1.59,4.55,0.27,1.82,15.4,4.9,2.13,0.93,1.49,31.48,0.26,1.32,13.45,1.31,5.55,3.82,10.48,11.21,2.54,0.84,0.74,1.3,0.59
STRA8,0,0,0,0,0,0.03,0,0.62,0,0,0,0,0,0.02,0,0,0,0,0,0,0.05,0,0
STRADA,21.67,23.87,23.62,23.37,21.21,23.54,34.49,14.67,25.28,17.53,16.97,25.35,22.76,19.93,21.86,34.59,17.06,17.42,17.81,25.93,11.65,22.54,11.5
STRADB,11.72,11.87,25.55,11.48,12.34,6.99,20.26,8.26,12.65,15.49,8.89,14.96,13.54,9.55,10.69,22.06,7.93,9.08,17.25,8.49,7.24,10.16,4.4
STRAP,39.94,57.36,60.89,112,65.83,244.09,176.3,92.24,55.18,111.21,59.46,74.59,63.12,36.84,47.37,113.87,50.91,78.26,61.18,122.54,134.56,54.77,83.37
STRBP,16.92,10.67,10.23,13.46,5.13,21.79,40.35,13.25,8.59,10.4,5.3,14.24,12.12,11.57,9.13,41.48,7.31,12.58,11.43,37.99,54.62,9.38,8.14
STRC,0.53,0.52,0.2,0.17,0.25,0.5,1.39,1.47,0.22,0.22,0.15,0.68,0.29,0.47,0.86,2.37,0.08,0.63,1.2,0.95,1.25,0.47,0.65
STRCP1,0.29,0.11,0.07,0.1,0.06,0.07,0,0.34,0.07,0.18,0.15,0.08,0.07,0.07,0.06,1.3,0.04,0.43,0.8,0.09,0.18,0.07,0.03
STRIP1,33.31,13.83,14.7,16.52,17.78,21.15,47.77,7.82,14.8,10.59,18.12,20.21,14.18,11.42,17.27,28.48,8.97,8.26,12.67,8.93,4.98,14.37,10.21
STRIP2,3.21,1.05,0.53,11.18,3.22,1.12,0.89,5.47,3.45,32.01,0.67,1.84,0.42,0.27,2.06,3.36,14.86,2.6,1.03,1.46,1.57,1.12,0.62
STRIT1,0.08,0,0.12,0,0,0.07,0,0,0,0,0,0.07,0.07,0,0,0.07,0,0.06,0.16,0,0,0.06,0
STRN,6,7.1,8.54,6.28,6.43,19.18,3.24,3.86,4.74,3.49,6.41,5.33,5.31,3.97,5.7,16.21,4.73,4.67,3.27,5.72,6.97,4.42,5.72
STRN3,27.63,17.7,14.49,16.82,13.57,17.76,19.67,13.7,9.67,7.43,10.5,15.9,16.55,8.07,15.42,16.25,9.19,15.63,12.88,7.49,8.45,10.15,12.32
STRN4,63.85,56.33,55.16,65.63,50.25,82.25,99.03,79.12,43.44,37.55,58.44,61.13,55.09,32.85,50.51,86.91,40.58,52.98,41.33,69.31,39.77,43.74,38.12
STS,5.1,13.94,11.04,5.78,4.4,2.5,5.16,1.78,15.99,14.24,6.66,13.3,4.99,2.33,18.83,4.31,2.73,4.26,11.59,1.17,1.04,4.93,6.85
STSP1,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.13,0,0,0,0,0,0,0
STT3A,91.9,70.86,65.43,87.91,74.4,125.9,51.62,129.25,68.05,98.2,45.37,94.09,51.55,33.61,58.4,67.98,65.27,80.45,53.67,125.88,49.22,54.39,50.38
STT3A.AS1,3.56,24.28,33.77,12.68,27.61,30.95,18.65,6.33,19.88,4.52,94.71,16.51,53.76,18.03,27.1,9.36,10.2,7.95,11.8,55.58,6.53,18.78,11.23
