,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
GNL2P1,0.02,0,0,0.03,0,0,0,0,0.02,0,0.06,0,0,0,0,0.02,0,0,0,0,0,0,0
GNL3,51.37,62.03,36.96,80.45,58.73,67.37,46.26,94.01,44.79,70.19,26.41,58.73,37.14,34.82,54.63,68.52,39.43,44.87,80.33,52.92,60.59,43.91,60.43
GNL3L,10.43,6.6,5.91,7.63,8.37,14.44,7.51,7.53,7.45,6.64,5.66,13.88,10.52,4.94,8.08,16.73,5.01,8,6.76,10.77,6.87,7.16,6.3
GNL3LP1,0,0.13,0.02,0.08,1.03,0.61,0,0.09,0,0.31,0.12,0.37,0.04,0.03,0.08,0.72,0,0.1,0.36,0.34,0.29,0.35,0.03
GNLY,27.09,21.34,14.9,12.5,13.38,6.07,1.07,38.85,17.21,151.34,36.8,23.39,37.5,12.56,37.35,6.23,67.5,17.58,11.78,11.3,31.31,12.11,21.56
GNMT,1.94,0.47,1.4,1.4,0.34,0.66,0.89,0.37,0.27,0.6,1.68,1.28,1.6,0.74,0.64,2.64,0.46,0.19,0.73,1.12,0.07,2.17,0.75
GNPAT,54.61,26.57,16.59,30.52,22.22,24.04,40.08,17.14,25.84,13.1,17.92,30.46,23.46,15.22,20.8,34.19,17.44,22.01,15.95,24.2,24.46,15.71,15.77
GNPDA1,28.47,24.32,25.51,29.72,25.54,24.51,33.18,10.83,32.78,29.76,14.09,26.64,16.48,13.49,20.04,25.63,15.56,19.21,23.69,19.51,24.6,31.48,10.87
GNPDA2,8.13,10.22,9.49,8.49,12.41,6.93,24.51,4.28,8,7.63,7.62,9.06,8.84,6.65,7.87,9.28,4.52,9.39,4.87,9.95,4.7,7.21,4.5
GNPNAT1,15.65,6.03,11.27,25.14,15.27,8.86,6.31,13.83,9.19,27.2,5.81,14.89,10.27,6.88,12.7,10.08,13.79,16.04,15.59,9.86,16.1,6.3,10.28
GNPTAB,13.62,19.37,23.86,22.42,17.32,25.72,15.76,11.7,23.59,12.64,20.4,21.18,19.53,12.81,15.43,31.19,11.7,18.36,20.08,13.11,5.85,19.04,16.27
GNPTG,117.42,113.36,106.54,100.03,113.62,53.54,143.51,107.26,112.31,70.11,96.91,112.73,87.59,67.55,83.65,53.07,54.61,124.48,72.83,22.67,42.16,85.59,73.38
GNRH1,1.84,2.77,5.01,0.94,3.67,0.6,2.69,3.87,2.23,1.44,3.45,2.09,2.43,0.84,1.85,2.83,1.31,2.7,2.48,3.41,1.16,1.89,2.67
GNRH2,0.83,0.07,0.21,0.19,0,0.27,1.06,0,0.43,0.53,0.24,0.22,0,0.11,0.21,0.64,0.24,0,0.22,0.07,0.3,0.06,0.21
GNRHR,0.11,0.03,0.1,0.06,0.05,0.26,0.09,0.03,0.02,0.09,0.02,0.13,0.08,0.09,0.05,0.07,0.15,0.05,0.15,0.12,0.14,0.21,0.01
GNRHR2,6.75,1.78,1.15,1.82,1.62,1.92,4.78,2.59,1.03,0.88,1.57,1.35,1.99,1.73,1.79,4.51,1.07,1.18,1.46,2.46,1.08,1.34,0.41
GNRHR2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNS,21.15,135.86,56.54,68.61,66.21,55.21,53.93,43.78,87.18,30.55,49.23,62.54,49.23,27,54.84,47.3,32.41,49.15,34.84,24.74,25.3,64.25,33.47
GOLGA1,10.32,10.34,9.79,12.29,11.23,10.52,17.32,6.17,8.21,7.16,7.55,9.54,8.57,6.17,8.9,12.37,5.21,8.54,7.56,7.79,5.69,8.2,4.24
GOLGA2,52.77,76.67,86.35,62.04,92.18,80.47,76.58,88.94,54.44,42.08,49.73,69.45,60.44,39.49,56.11,64.86,37.46,70.81,52.26,78.31,46.76,47.71,30.44
GOLGA2P1,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
GOLGA2P2Y,0.04,0.26,0,0.23,0.1,0.07,0.36,0.09,0,0,0.09,0.21,0,0,0,0.15,0,0.1,0.12,0,0.05,0,0
GOLGA2P3Y,0.04,0.26,0,0.23,0.1,0.07,0.36,0.09,0,0,0.09,0.21,0,0,0,0.15,0,0.1,0.12,0,0.05,0,0
GOLGA2P5,17.93,5.36,23.42,8.58,4.02,1.97,16.57,8.75,4.38,7.03,5.18,14.64,12.91,7.92,4.68,40.83,3.01,6.67,13.73,4.4,3.1,5.81,3.9
GOLGA2P7,67.11,50.78,316.34,68.83,45.64,27.8,58.94,59.03,31.96,20.01,41.51,127.93,79.47,35.62,43.73,50.87,20.33,82.42,47.71,31.05,31.28,39.52,40.66
GOLGA2P9,0.05,0,0,0,0,0,0.18,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0
GOLGA3,23.56,27.8,40.57,34.62,34.06,37.89,27.65,89.85,25.26,29.57,15.18,36.08,27.95,20.94,19.09,36.86,21.19,46.79,18.88,40.54,28.55,25.74,21.57
GOLGA4,16.12,20.46,21.44,20.21,25.85,24.12,32.72,22.57,22.71,18.47,17.19,24.87,17.11,12.46,23.44,12.43,16.57,25.81,19.04,14.81,18.19,21.44,21.2
GOLGA4.AS1,1.85,0.93,0.9,1.16,1.08,0.51,1.38,0.71,1.49,0.9,1.13,1.36,0.79,0.8,0.77,0.74,0.7,1.23,1.38,0.45,0.53,1.24,0.59
GOLGA5,38.6,16.4,25.74,29.92,30.27,17.44,27.62,48.06,21.2,29.88,17.1,23.54,18.59,17.12,21.48,22.34,14.84,27.45,25.49,12.39,13.79,16.91,10.23
GOLGA6A,0.03,0.08,0,0.08,0.11,0.1,0,0.25,0.02,0.01,0.05,0.04,0.1,0.28,0.07,0.2,0.09,0.03,0.16,0,0,0,0.12
GOLGA6B,0.06,0.02,0.11,0.04,0.05,0,0.1,0.44,0.05,0.06,0.06,0,0,0.06,0.03,0.12,0,0.13,0.13,0.05,0.01,0.03,0.08
GOLGA6C,0.06,0.03,0.04,0.03,0.09,0.04,0.11,0.34,0.04,0,0,0.11,0.08,0.01,0.06,0.08,0,0.09,0.14,0.03,0,0,0.02
GOLGA6D,0,0,0.01,0.02,0,0,0,0,0,0.01,0,0,0.02,0,0,0.1,0.07,0,0,0.01,0.07,0,0
GOLGA6L1,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA6L10,3.17,1.02,2.36,1.51,2.23,0.42,3.99,2.12,0.91,0.5,1.19,4.08,0.48,0.91,1.27,1.98,0.35,0.55,1.76,0.5,1.15,0.15,3.06
GOLGA6L17P,3.49,12.81,23.7,10.67,7.42,5.9,18.91,12.4,7.54,2.55,7.86,14.01,7.54,5.37,8.51,4.87,3.67,5.38,10.13,3.86,1.45,5.47,3.97
GOLGA6L2,0.12,0,0,0.01,0.03,0.1,0.3,0.04,0,0,0.02,0.03,0,0,0,0.01,0,0,0,0,0.03,0,0.02
GOLGA6L22,0.04,0,0,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0,0,0.01,0,0.02,0,0.05,0
GOLGA6L3,0.2,0.17,0,0.19,0.67,0.36,1.32,0.43,0.43,0.04,0.85,0.83,0.1,0.93,0,0.18,0.28,0.47,0.33,0.23,0.06,0.36,1.17
GOLGA6L4,2.32,6.01,8.21,5.85,3.56,2.45,9.01,5.66,2.69,1.2,4.3,6.67,2.02,4.46,2.61,2.13,1.94,3.28,4.12,4.06,0.8,4.11,2.57
GOLGA6L4.1,3.17,1.02,2.36,1.51,2.23,0.42,3.99,2.12,0.91,0.5,1.19,4.08,0.48,0.91,1.27,1.98,0.35,0.55,1.76,0.5,1.15,0.15,3.06
GOLGA6L4.2,2.32,6.01,8.21,5.85,3.56,2.45,9.01,5.66,2.69,1.2,4.3,6.67,2.02,4.46,2.61,2.13,1.94,3.28,4.12,4.06,0.8,4.11,2.57
GOLGA6L4.3,3.17,1.02,2.36,1.51,2.23,0.42,3.99,2.12,0.91,0.5,1.19,4.08,0.48,0.91,1.27,1.98,0.35,0.55,1.76,0.5,1.15,0.15,3.06
GOLGA6L6,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA6L7,0,0.11,0.02,0.1,0.05,0.3,0.63,0,0,0,0,0.11,0.02,0.03,0.04,0.2,0,0,0,0,0.03,0.07,0.13
GOLGA6L9,11.35,4.57,9.82,4.48,3.52,3.04,6.49,8.96,3.4,2.4,3.02,6.86,4.97,2.86,4.97,5.64,1.43,2.26,6.68,5.5,4.09,4.82,5.71
GOLGA7,29.21,33.04,38.74,33.09,52.66,49.69,57.73,34.93,36.23,56.59,39.11,31.6,33.06,24.75,27.05,54.47,21.17,28.21,33.26,39.17,18.49,30.52,23.32
GOLGA7B,2.83,5.3,8.79,2.75,3.32,1.32,15.28,0.52,1.67,2.46,0.33,1.63,1.97,1.23,2.21,0.29,5.34,1.24,1.02,0.53,0.18,1.55,1.05
GOLGA7B.DT,0,0.18,0.62,0.14,0.54,0,0.17,0,0,0.26,0,0,0,0.1,0,0,0.14,0,0.14,0.35,0.14,0.15,0
GOLGA8A,129.05,76.39,69.4,35,49.29,128.55,68.17,34.58,34.92,11.17,64.27,97.8,57.23,65.06,70.6,14.13,22.39,21.3,17.29,55.7,33.94,52.52,23.11
GOLGA8B,34.69,42.1,34.92,53.61,28.07,73.73,75.77,34.65,37.17,19.75,53.9,56.1,47.35,33.15,47.98,5.34,18.81,25.01,45.23,24.56,22.1,33.99,20.58
GOLGA8CP,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.02,0,0.05,0,0,0,0,0,0,0
GOLGA8DP,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0
GOLGA8EP,0,0,0,0,0.02,0,0.04,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0.03,0,0
GOLGA8F,0.02,0,0.02,0,0.09,0.01,0,0.03,0.13,0.01,0.01,0.05,0.01,0,0.01,0.02,0,0,0,0.02,0,0,0
GOLGA8G,0,0,0,0.05,0.07,0,0.02,0.01,0,0.05,0,0.03,0.04,0.02,0,0,0.09,0.05,0,0,0,0.01,0.05
GOLGA8H,0,0.49,0.66,0.45,0.42,0.27,0.4,0.24,1.24,0.31,0.09,0.62,0.37,0.34,0.59,2.88,0.58,0.07,0.52,0.09,0.1,0.53,0.33
GOLGA8IP,0.57,0.52,0.22,0.1,0.13,0,0.82,0.07,0.34,0.01,0.36,0.05,0.05,0.17,0.17,0.34,0.08,0.46,0,0.13,0,0.1,0.06
GOLGA8J,0.22,0.23,0.16,0,0.28,0.03,0.46,0,0.1,0.19,0.03,0.18,0.07,0.07,0.12,0.2,0.14,0.06,0.08,0.19,0,0.05,0.04
GOLGA8K,0.87,0.2,0.32,0.31,0.14,0.09,0.99,0.4,0.2,0,0.52,0.57,0.23,0.28,0.5,0.48,0.16,0.15,0.14,0.04,0.12,0.31,0.22
GOLGA8K.1,0.35,1.1,1.25,0.52,0.64,0.41,1.85,0.49,0.13,0.27,0.55,0.65,0.64,0.65,0.84,2.45,0.46,0.4,0.22,0.35,0.11,0.51,0.24
GOLGA8K.2,0.87,0.2,0.32,0.31,0.14,0.09,0.99,0.4,0.2,0,0.52,0.57,0.23,0.28,0.5,0.48,0.16,0.15,0.14,0.04,0.12,0.31,0.22
GOLGA8K.3,0.35,1.1,1.25,0.52,0.64,0.41,1.85,0.49,0.13,0.27,0.55,0.65,0.64,0.65,0.84,2.45,0.46,0.4,0.22,0.35,0.11,0.51,0.24
GOLGA8M,1.29,0.4,1.56,0.98,0.5,0.13,1.81,0.19,0.75,0.12,1.56,0.46,1.19,0.68,0.99,0.24,0.34,1.38,0.28,0.13,0.08,0.16,0.5
GOLGA8M.1,0.25,0.56,0.1,0.26,0.58,0.1,0.74,0.22,0.22,0.08,0.54,0.1,0,0,0.2,0.43,0,0.38,0,0.22,0,0,0
GOLGA8M.2,1.29,0.4,1.56,0.98,0.5,0.13,1.81,0.19,0.75,0.12,1.56,0.46,1.19,0.68,0.99,0.24,0.34,1.38,0.28,0.13,0.08,0.16,0.5
GOLGA8M.3,0.25,0.56,0.1,0.26,0.58,0.1,0.74,0.22,0.22,0.08,0.54,0.1,0,0,0.2,0.43,0,0.38,0,0.22,0,0,0
GOLGA8N,6.72,5.7,9.41,8.48,7.72,2.07,25.53,3.28,3.92,1.54,6.26,11.75,6.28,4.01,4.33,7.62,4.87,8.94,3,2.76,2.92,6.17,3.55
GOLGA8O,1.99,1.15,4.82,1.71,1.16,0.44,3.42,0.6,0.74,0.25,1.42,1.68,1.62,0.36,1.65,0.85,1.06,1.95,0.32,0.39,0.24,2.55,1.1
GOLGA8O.1,2.6,2.24,1.94,2.34,2.04,0.37,3.11,1.61,1.1,0.48,1.36,3.49,1.12,1.81,3.3,2.39,0.97,1.14,0.11,0,0,0.75,0.56
GOLGA8O.2,1.99,1.15,4.82,1.71,1.16,0.44,3.42,0.6,0.74,0.25,1.42,1.68,1.62,0.36,1.65,0.85,1.06,1.95,0.32,0.39,0.24,2.55,1.1
GOLGA8O.3,2.6,2.24,1.94,2.34,2.04,0.37,3.11,1.61,1.1,0.48,1.36,3.49,1.12,1.81,3.3,2.39,0.97,1.14,0.11,0,0,0.75,0.56
GOLGA8Q,1.99,1.15,4.82,1.71,1.16,0.44,3.42,0.6,0.74,0.25,1.42,1.68,1.62,0.36,1.65,0.85,1.06,1.95,0.32,0.39,0.24,2.55,1.1
GOLGA8R,5.2,3.02,4.25,3.32,3.42,0.63,5.77,2.45,1.5,0.89,2.77,4.57,1.07,1.9,3.1,3.3,1.6,3.43,1.74,1.33,0.45,2.15,1.4
GOLGA8S,0,0.09,0.05,0.09,0,0.06,0.05,0.07,0.01,0.06,0.03,0.09,0.06,0.09,0.11,0.13,0.02,0.12,0,0,0.02,0.04,0.08
GOLGA8T,0.87,0.2,0.32,0.31,0.14,0.09,0.99,0.4,0.2,0,0.52,0.57,0.23,0.28,0.5,0.48,0.16,0.15,0.14,0.04,0.12,0.31,0.22
GOLGB1,16.87,26.24,30.56,19.24,28.52,38.38,35,23.75,20.84,22.66,16.99,22.78,21.99,16.14,23.03,44.54,11.97,25.46,19.79,9.47,17.71,16.72,16.45
GOLIM4,20.29,22.43,23.86,17.8,44.03,172.16,13.64,5.38,25.18,19.4,27.96,20.18,20.72,15.8,27.68,29.11,11.56,11.98,17.36,63.51,50.44,19.99,11.56
GOLM1,119.55,128.42,150.68,209.72,179.8,41.67,37.39,115.37,277.61,57.21,18.58,56.36,59.88,35.92,254.69,50.46,51.25,156.01,168.65,65.13,23.75,24.34,57.47
GOLM2,34.32,48.38,38.6,43.03,48.54,28.34,61.39,24.03,32.96,24.44,32.49,30.96,33.53,23.51,46.17,24.66,19.83,71.35,32.25,19.99,13.82,27.25,24.35
GOLPH3,96.94,125.9,74.89,62.86,64.2,193.4,96.98,156.73,59.57,47.46,61.1,71.13,72.93,45.76,78.69,116.92,42.6,67.99,82.4,52.13,83.24,50.42,53.97
GOLPH3L,24.08,30.22,27.6,29.91,12.36,14.21,29.2,79.08,26.06,7.28,8.29,15.56,24.05,10.65,11.61,18.65,8.66,26.65,17.36,11.87,5.45,9.73,8.99
GOLT1A,22.26,26.48,23.94,27.47,2.37,1.1,24.03,35.49,5.78,3.26,3.97,9.87,5.34,7.79,7.18,1.97,4.08,26.31,8.56,0.35,0.11,8.25,4.22
GOLT1B,8.82,15.69,23.82,24.36,36.74,66.78,16.78,39.9,18.2,33.62,10.67,18.9,16.13,10.97,13.24,37.71,20.38,15.64,11.16,21.56,39.34,18.69,19.86
GON4L,31.84,37.76,27.51,20.29,17.45,28.47,25.98,27.27,19.52,15.11,19.14,24.57,36.23,19.37,18.14,31.17,12.07,14.59,18.02,34.6,11.08,20.03,15.8
GON7,61.83,7.48,12.12,12.97,12.48,8.92,31.66,13.59,15.85,12.6,9.81,15.87,22.86,11.91,15.51,23.32,8.36,14.96,15.11,5.83,10.07,8.97,9.13
GOPC,19.94,13.28,14.41,12.42,34.13,14.75,20.7,12.47,9.92,10.08,9.3,14.65,12.45,8.53,11.74,18.37,8.25,7.24,8.78,11.17,9.04,12.76,5.01
GORAB,24.85,18.92,22.34,11.8,19.49,11.14,7.84,14.61,17.08,7.22,8.67,12.57,15.88,10.05,8.17,18.66,5.96,6.22,15.82,16.33,8.75,9.25,6.47
GORASP1,41.1,54.87,54.62,49.22,46.99,31.3,62.48,36.55,42.2,30.48,73.49,49.74,49.84,31.25,44.64,35.19,22.66,47.82,40.33,20.6,18.38,40.78,23.63
GORASP2,67.5,75.36,74.92,84.33,75.33,82.46,99.64,163.98,57.06,74.44,44.95,75.55,52.98,44.71,58.84,88.63,50.51,92.13,55.52,89.65,59.54,47.15,50.15
GOSR1,11.23,17.72,18.36,22.99,17.92,32.58,39.77,42.56,17.7,18.27,17.24,20.59,18.02,14.61,16.83,27.21,15.23,19.7,18.74,23.4,11.12,16.07,14.54
GOSR2,28.85,23.44,24.36,25.86,36.85,35.67,52.14,39.1,26.84,26.69,19.26,27.12,26.96,19.84,26,39.38,22.91,20.73,18.27,28.27,19.19,23.96,21.15
GOT1,38.07,36.25,23.56,37.37,16.83,18.28,28.79,24.02,19.65,15.25,15.71,17.3,19.88,9.93,19.1,19.66,24.72,71.13,19.2,36.58,31.14,12.87,13.79
GOT1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOT2,44.66,26.13,34.81,49.45,49.79,55.25,88.65,23.47,34.54,33.25,32.61,44.16,37.51,20.52,40.69,78.69,34.85,56.2,43.1,78.95,85.42,30.28,29.97
GOT2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOT2P3,0,0.04,0,0,0,0.04,0,0,0,0.03,0,0,0.04,0.02,0,0.04,0,0.14,0,0,0.03,0,0.11
GOT2P5,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOT2P6,0.04,0.04,0.14,0.06,0,0.04,0.07,0.04,0.04,0.06,0,0,0,0.07,0,0.07,0.09,0.03,0.12,0.04,0,0.1,0.06
GOT2P7,0,0,0.04,0,0,0,0,0,0.04,0,0,0.04,0.08,0,0.04,0,0,0,0,0,0,0.03,0
GP1BA,0.25,1.35,0.76,0.38,0.42,0.17,0.31,0.34,0.48,0.5,0.89,0.66,0.47,0.46,0.75,0.91,0.77,0.63,0.77,0.18,1.03,1.05,0.63
GP1BB,3.03,5.42,3.36,2.06,3.41,17.06,28,2.54,1.23,1.43,4.13,5.58,2.81,3.2,3.8,3.78,2.06,2.16,1.08,20.48,8.23,3.23,2
GP2,0.08,0,0,0.02,0,0,378.49,0,1.43,0,0.28,0.26,0.19,0.03,0.88,0,0,0,0.01,0,0,0,0
GP5,0.07,0.13,0.04,0.01,0.13,0.05,0.04,0.01,0.07,0.01,0.09,0.2,0.23,0.2,0.05,0.22,0.03,0.09,0.11,0.05,0,0.13,0.06
GP6,0.21,0.25,0.3,0.07,0.19,0.09,0.06,0.64,0.53,0.18,0.54,0.22,0.61,0.15,0.33,0.02,0.06,0.2,0.14,0.41,0.05,0.21,0.32
GP9,0.14,0.24,0,0.05,0,0.06,0,0,0.35,0,1.17,0.23,0.47,0.18,0.05,0.06,0,0.05,0.09,0,0,0.05,0
GPA33,0.12,1.31,7.28,14.39,0.26,0.22,0.02,0.09,11.74,2.75,0.58,0.3,0.43,0.29,2.55,1.23,0.12,0.54,0.21,0.11,0.04,0.48,0.18
GPAA1,124.38,114.69,100.35,109.31,104.28,99.42,149.74,101.89,84.25,150.17,85.17,99.75,91.28,58.47,107.68,274.82,89.91,129.47,66.1,92.38,110.02,65.63,47.04
GPAA1P1,1.08,0.78,0.18,0,0,0,0,2.26,0.35,0.34,0,0.42,0,0.41,0.31,0.14,1.07,0,0,0,0.16,0.56,0.76
GPAA1P2,14.19,0.22,1.3,0.77,0.76,0.1,0.1,1.34,1.01,0.88,1.41,1.02,2.88,1.26,0.4,1.15,0.75,0.23,0.44,0.06,0.17,1.43,0.74
GPALPP1,11.69,7.28,5.63,7.18,8.18,6.63,20.82,10.13,6.09,4.16,6.54,8.45,6.56,5,7.13,12.98,4.92,5.13,7.3,5.39,5.6,6.54,2.59
GPAM,3.03,3.07,2.33,3.99,2.3,3.43,3.93,2.39,2.63,1.78,1.29,5.14,3.14,1.4,1.78,4.49,2.82,1.07,1.3,0.97,3.43,8.81,1.16
GPANK1,26.3,12.5,12.07,13.41,10.41,11.65,20.86,16.56,11.57,13.93,14.4,11.47,13.46,10.27,9.2,29.75,9.91,9.62,12.66,10.27,9.83,9.23,8.91
GPAT2,37.6,1.9,0.5,1.59,5.28,1.1,1.26,0.43,1.17,1.24,2.32,5.17,2.48,6.21,12.09,0.36,1.86,1.93,1.19,0.35,1.21,5.58,1.34
GPAT3,2.6,2.9,3.58,11.33,6.55,11.16,2.58,1.48,5.75,2.07,3.35,3.96,5.28,3.13,4.81,0.32,6.87,15.26,2.33,36.43,14.11,2.79,10
GPAT4,53.55,70.47,119.49,88.7,68.2,79.95,110.68,63.16,72.27,92.9,67.75,64.46,66.97,47.44,55.61,91.14,39.18,66.65,47.37,51.89,18.21,52.38,52.63
GPATCH1,8.02,5.49,6.29,5.99,5.78,8.11,8.55,17.05,4.76,5.82,5.14,6.73,5.43,5.2,5.01,11.63,3.44,3.24,4.25,6.55,3.09,4.24,4.07
GPATCH11,4.14,4.43,6.46,4.17,5.58,8.03,8.53,2.09,3.83,3.64,4.35,4.28,3.75,3.94,4.3,9.2,3.24,3.95,3.41,4.92,3.69,4.08,4.28
GPATCH2,10.71,5.28,10.57,6.65,8.41,10.12,12.35,3.72,5.03,4.11,5.49,7.9,6.81,5.23,5.7,10.11,3.4,5.14,5.09,7.13,8.52,4.48,5.43
GPATCH2L,31.73,8.43,11.44,11.73,16.37,14.24,19.99,8.16,12.2,10.64,12.51,12.42,10.33,8.81,13.9,17.98,9.88,11.87,8.84,7.68,10.66,10.06,7.17
GPATCH3,12.83,10.3,8.29,9.28,12.75,10.42,17.94,5.28,10.31,6.55,8.28,8.51,7.4,6.69,7.74,17.8,5.81,6.42,8.56,4.62,3.88,7.39,8.74
GPATCH4,21.66,21.11,16.52,27.57,14.54,31.17,13.51,13.36,23.99,22.99,12.66,15.77,27.36,12.61,16.62,25.42,14.1,24.5,26.71,29.84,10.01,15.8,16.05
GPATCH8,15.74,16.72,14.59,13.01,18.54,19.67,29.12,13.68,14.26,7.16,16.37,14.84,13.01,10.91,13.76,22.88,9.45,8,11.13,15.82,9.02,10.78,12.61
GPBAR1,0.24,1.22,7.89,0.96,0.89,0.99,1.55,0.03,2.21,1.07,1.68,0.22,1.35,0.76,2.46,1.33,1.04,0.43,1.07,0.47,0.37,1.18,0.64
GPBP1,72.12,43.09,41.35,31.91,50.18,33.04,66.92,33.53,31.36,35.25,41.6,31.88,39.49,31.08,29.64,39.46,26.1,27.78,37.02,25.45,17.65,31.6,86.53
GPBP1L1,76.22,58,71.21,67.24,52.24,42.82,78.8,57.84,51.89,40.66,49.51,49.9,45.25,39.46,54.69,112.81,34.26,61.07,47.34,29.96,21.86,41.21,44.71
GPC1,26.12,31.17,17.49,32.14,224.81,741.07,51.71,12.83,15.91,17.37,21.84,57.47,26.73,17.64,27.86,21.58,14.63,48.67,9.48,150.35,66.61,12.75,18.96
GPC2,4.7,2.82,1.89,0.79,3.46,6.35,2.34,2.38,1.07,1.19,0.88,1.57,2.03,2.69,1.83,24.23,1.56,0.49,0.72,7.45,4.42,2.63,0.47
GPC3,77.17,29.66,72.18,7.33,2.51,1492.44,0.75,3.58,20.77,3.65,198.56,27.74,81.67,16.23,20.06,28.92,5.47,4.26,10.79,16.37,403.55,14.97,27.01
GPC3.AS1,0.15,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
GPC4,38.3,25.73,22.76,16.91,33.64,105.82,5.43,27.64,16.08,11.12,20.78,32,20.84,17.36,15.57,129.35,11.52,4.5,28.69,12.66,9.68,19.34,32.86
GPC5,0.06,0.93,0.75,0.88,0.17,0.58,44.16,0.16,0.79,0.08,1.46,0.71,2.35,0.03,0.89,0.07,0.18,0.65,0.15,4.57,0.04,0.22,0.16
GPC5.AS1,0,0,0,0,0,0,0,0,0,0,0,1.16,0.2,0.12,0,0,0,0,0,0,0,0,0
GPC6,0.56,2.2,2.26,0.58,18.25,1.83,1.53,6.13,1.71,2.32,1.76,0.61,1.97,1,2.87,0.35,17.84,1.35,2.22,0.64,0.71,1.86,0.97
GPC6.AS1,0.09,0,0,0,0,0,0,0,0.63,0,0,0,0.08,0,0,0,0.07,0,0.06,0,0,0,0
GPCPD1,25.92,41.61,58.67,40.46,23.4,26.6,8.91,71.73,24.24,23.01,20.9,37.8,20.89,20.58,24.74,18.46,14.99,27.59,16.27,17.68,8.31,25.57,24.66
GPD1,0.36,11.01,42.82,17.49,1.87,1.88,2.23,0.53,9.43,0.41,5.14,1.99,4.2,0.74,18.18,1.16,0.49,1.32,1.04,0.21,0.14,1.18,1.58
GPD1L,19.3,23.29,27.63,17.42,5.11,9.04,14.07,2.49,14.63,8.65,29.96,20.06,21.98,9.57,12.07,8.75,6.57,28.38,19.47,4.34,9.57,13.18,14.05
GPD2,25.54,16.15,12.14,17.79,12.63,42.67,16.43,9.02,16.45,11.18,11.25,14.23,11.46,8.25,13.38,22.49,8.98,12.35,8.68,16.81,11.81,9.14,13.4
GPER1,1.93,5.08,1.72,2.68,3.41,0.7,0.77,1.15,3.2,0.63,14.26,5.74,7.66,1.39,5.31,1.16,0.99,1.86,1.33,1.12,0.34,0.99,0.93
GPHA2,3.94,0.22,0.19,0,0,0,0.7,0.14,0.5,0.08,0.4,0.41,0.21,0.98,0.4,0.1,0.24,0,0.17,0.1,0,0.61,0.15
GPHB5,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPHN,14.09,7.2,8.62,8.13,5.3,6.06,12.21,3.51,4.76,11.56,6.31,6,5.48,2.83,6.9,3.64,3.7,8,2.46,6.56,6.27,4.18,4.21
GPI,102.23,108.24,112.78,184.1,195.59,216.19,219.16,316.63,120.76,280.54,84.71,163.56,90.62,84.37,139.03,154.42,103.92,101.38,128.51,479.71,157.27,101.78,63.2
GPIHBP1,1.14,12.5,7.35,10.27,1.06,2.8,0.92,1.63,11.22,0.36,127.37,7.13,28.66,4.77,10.27,1.77,2.2,6.64,5.51,0.46,0.85,10.93,2.79
GPKOW,33.67,17.53,16.13,20.49,18.41,22.93,30.07,25.71,16.9,15.42,22.28,17.1,17.29,13.95,16.05,32.39,10.13,24.84,17.34,14.13,14.1,12.13,14.76
GPLD1,1.48,2.01,1.45,1.68,0.34,1.06,7.96,0.77,0.27,0.78,1.12,1.15,0.83,0.59,0.46,0.68,0.45,0.69,1.22,2,0.42,0.79,0.43
GPM6A,1.09,5.77,2.06,4.77,0.4,0.75,0.34,0.58,1.19,0.19,13.61,1.39,5.07,1.1,1.45,0.34,0.32,0.38,3.49,0,0.06,1.26,0.92
GPM6A.DT,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
GPM6B,0.89,3.22,4.37,2.88,11.81,4.88,19.39,1.58,1.67,1.41,17.61,3.92,10.59,3.53,2.39,5.82,1.7,0.94,1.93,1.32,1.2,2.42,1.16
